,Time,Latitude,Longitude,Depth,Magnitude,Date
,12:43:29,31.96,92.97,40,3.8,28-03-2021
,03:27:52,27.36,92.63,6,2.8,28-03-2021
,22:54:17,35.56,89.32,63,4.1,27-03-2021
,00:32:08,27.55,92.66,10,5,27-03-2021
,00:30:42,36.27,70.58,180,3.7,27-03-2021
,21:55:12,32.47,93.54,200,4,26-03-2021
,16:07:17,36.51,71.04,150,4.5,26-03-2021
,05:48:37,35.37,91.17,50,4.3,26-03-2021
,18:27:21,31.2,84.09,150,4.2,25-03-2021
,17:07:22,34.58,76.84,30,3.5,25-03-2021
,16:36:15,19.18,73.95,8,2.4,25-03-2021
,03:53:00,36.86,75.99,10,3.7,25-03-2021
,01:40:56,36.58,71.44,10,3.8,25-03-2021
,01:29:27,37.46,72.95,30,3.6,25-03-2021
,01:06:14,36.77,71.71,13,4.4,24-03-2021
,00:27:36,24.14,93.88,40,2.8,24-03-2021
,00:26:44,36.41,68.01,10,4.1,24-03-2021
,23:42:44,34.81,70.68,10,3.8,23-03-2021
,11:27:04,33.64,76.28,10,3,23-03-2021
,04:25:30,20.17,94.26,10,3.8,23-03-2021
,23:28:09,25.24,95.02,10,3.3,22-03-2021
,22:53:40,31.9,92.79,40,4.4,22-03-2021
,21:59:18,26,90.48,10,2.7,22-03-2021
,20:21:56,31.52,84.9,200,3.9,22-03-2021
,18:14:53,32.739,70.177,10,4.2,22-03-2021
,19:50:23,31.81,90.49,150,3.9,21-03-2021
